,Pearson's r,Pearson's r (abs),p-value
visual cortex,0.44103199719748915,0.44103199719748915,0.0
extrastriate,0.4339799728472517,0.4339799728472517,0.0
gaze,0.41995280827278203,0.41995280827278203,0.0
occipital cortex,0.4150314106243367,0.4150314106243367,0.0
occipital,0.41293124853880625,0.41293124853880625,0.0
latency,0.40924535147485663,0.40924535147485663,0.0
v1,0.40905989859939457,0.40905989859939457,0.0
visual,0.4090424622216915,0.4090424622216915,0.0
vision,0.404349541516876,0.404349541516876,0.0
visual field,0.40350291797516885,0.40350291797516885,0.0
covert,0.40242498048465547,0.40242498048465547,0.0
direction,0.3991166110831132,0.3991166110831132,0.0
occipito,0.39905214458333965,0.39905214458333965,0.0
eye,0.3957006832708016,0.3957006832708016,0.0
eye movements,0.3951000633108653,0.3951000633108653,0.0
visual stimuli,0.3940475467154692,0.3940475467154692,0.0
occipito temporal,0.3933380661512126,0.3933380661512126,0.0
inputs,0.39235840084190615,0.39235840084190615,0.0
visual cortices,0.3921252636605128,0.3921252636605128,0.0
early visual,0.3917341651121491,0.3917341651121491,0.0
motion,0.39086050099745434,0.39086050099745434,0.0
perceptual,0.39049384361605227,0.39049384361605227,0.0
occipitotemporal,0.3903507257685114,0.3903507257685114,0.0
inferior occipital,0.38974947432677465,0.38974947432677465,0.0
perception,0.3879777392244795,0.3879777392244795,0.0
task relevant,0.3878848709405921,0.3878848709405921,0.0
occipital gyrus,0.3857761441945649,0.3857761441945649,0.0
moving,0.3838655388769677,0.3838655388769677,0.0
v5,0.3837184872675555,0.3837184872675555,0.0
visual stimulus,0.3828635867613802,0.3828635867613802,0.0
body,0.3818693563255323,0.3818693563255323,0.0
selective,0.3791742250750524,0.3791742250750524,0.0
shifts,0.3774657936165848,0.3774657936165848,0.0
depth,0.3773217154473264,0.3773217154473264,0.0
field,0.37692746715157993,0.37692746715157993,0.0
parts,0.37601362014645107,0.37601362014645107,0.0
eyes,0.37511629581768063,0.37511629581768063,0.0
pathway,0.3745877944948319,0.3745877944948319,0.0
specialization,0.3744557818245506,0.3744557818245506,0.0
timing,0.373978177522009,0.373978177522009,0.0
lateral occipital,0.37381958915351743,0.37381958915351743,0.0
mt,0.37380511260063587,0.37380511260063587,0.0
