,0
0,100206
1,100307
2,100408
3,100610
4,101006
5,101107
6,101309
7,101915
8,102008
9,102109
10,102311
11,102513
12,102614
13,102715
14,102816
15,103010
16,103111
17,103212
18,103414
19,103515
20,103818
21,104012
22,104416
23,104820
24,105014
25,105115
26,105216
27,105620
28,105923
29,106319
30,106521
31,106824
32,107018
33,107321
34,107422
35,107725
36,108020
37,108121
38,108222
39,108323
40,108525
41,108828
42,109123
43,109325
44,109830
45,110007
46,110411
47,110613
48,111009
49,111211
50,111312
51,111413
52,111514
53,111716
54,112112
55,112314
56,112516
57,112920
58,113215
59,113316
60,113619
61,113922
62,114217
63,114318
64,114419
65,114621
66,114823
67,114924
68,115017
69,115219
70,115320
71,115724
72,115825
73,116524
74,116726
75,117021
76,117122
77,117324
78,117930
79,118023
80,118124
81,118225
82,118528
83,118730
84,118831
85,118932
86,119025
87,119126
88,119732
89,119833
90,120111
91,120212
92,120414
93,120515
94,120717
95,121416
96,121618
97,121921
98,122317
99,122620
100,122822
101,123117
102,123420
103,123521
104,123723
105,123824
106,123925
107,124220
108,124422
109,124624
110,124826
111,125222
112,125424
113,125525
114,126325
115,126426
116,126628
117,127226
118,127327
119,127630
120,127731
121,127832
122,127933
123,128026
124,128127
125,128632
126,128935
127,129028
128,129129
129,129331
130,129634
131,130013
132,130114
133,130316
134,130417
135,130518
136,130619
137,130720
138,130821
139,130922
140,131217
141,131419
142,131722
143,131823
144,131924
145,132017
146,132118
147,133019
148,133625
149,133827
150,133928
151,134021
152,134223
153,134324
154,134425
155,134627
156,134728
157,134829
158,135124
159,135225
160,135629
161,135730
162,135932
163,136126
164,136227
165,136631
166,136732
167,136833
168,137027
169,137128
170,137229
171,137431
172,137532
173,137633
174,137936
175,138130
176,138231
177,138332
178,138534
179,138837
180,139233
181,139435
182,139637
183,139839
184,140117
185,140319
186,140420
187,140824
188,140925
189,141119
190,141422
191,141826
192,142828
193,143224
194,143325
195,143426
196,143830
197,144125
198,144226
199,144428
200,144731
201,144832
202,144933
203,145127
204,145632
205,145834
206,146129
207,146331
208,146432
209,146533
210,146735
211,146836
212,146937
213,147030
214,147636
215,147737
216,148032
217,148133
218,148335
219,148436
220,148840
221,148941
222,149236
223,149337
224,149539
225,149741
226,149842
227,150423
228,150625
229,150726
230,151223
231,151324
232,151425
233,151526
234,151627
235,151728
236,151829
237,151930
238,152225
239,152427
240,152831
241,153025
242,153126
243,153227
244,153429
245,153631
246,153732
247,153833
248,153934
249,154229
250,154330
251,154431
252,154532
253,154734
254,154835
255,154936
256,155635
257,155938
258,156031
259,156233
260,156334
261,156435
262,156536
263,156637
264,157437
265,157942
266,158035
267,158136
268,158338
269,158540
270,158843
271,159138
272,159239
273,159340
274,159441
275,159744
276,159946
277,160123
278,160729
279,160830
280,161327
281,161630
282,161731
283,161832
284,162026
285,162228
286,162329
287,162733
288,162935
289,163129
290,163331
291,163432
292,163836
293,164030
294,164131
295,164636
296,164939
297,165032
298,165436
299,165638
